location,total_cases,total_deaths,DeathPercentage
Bahrain,176934,646,0.3651078933387591
Kuwait,273991,1563,0.5704566938330091
Oman,193253,2010,1.040087346638862
Qatar,205652,458,0.22270631941337793
Saudi Arabia,417363,6957,1.6668942862687874
United Arab Emirates,520236,1587,0.3050538601711531
Yemen,6317,1226,19.407946810194712
