Location,Population,date,HighestInfectionCount,HighestInfectionCountPerMillion,PercentPopulationInfected
Bahrain,1701583,2020-03-20,1,0.588,5.8768805283080524E-05
Bahrain,1701583,2020-03-21,1,0.588,5.8768805283080524E-05
Oman,5106622,2020-04-09,3,0.587,5.8747250139133065E-05
Oman,5106622,2020-04-10,3,0.587,5.8747250139133065E-05
Oman,5106622,2020-04-11,3,0.587,5.8747250139133065E-05
United Arab Emirates,9890400,2020-03-30,5,0.506,5.055407263609156E-05
Yemen,29825968,2020-05-15,15,0.503,5.029174576999479E-05
Kuwait,4270563,2020-04-13,2,0.468,4.683223265878527E-05
Saudi Arabia,34813867,2020-04-01,16,0.46,4.5958698009617834E-05
Yemen,29825968,2020-05-13,12,0.402,4.023339661599583E-05
Yemen,29825968,2020-05-14,12,0.402,4.023339661599583E-05
Oman,5106622,2020-04-04,2,0.392,3.9164833426088715E-05
Oman,5106622,2020-04-05,2,0.392,3.9164833426088715E-05
Oman,5106622,2020-04-06,2,0.392,3.9164833426088715E-05
Oman,5106622,2020-04-07,2,0.392,3.9164833426088715E-05
Oman,5106622,2020-04-08,2,0.392,3.9164833426088715E-05
Qatar,2881060,2020-03-28,1,0.347,3.470944721734362E-05
Qatar,2881060,2020-03-29,1,0.347,3.470944721734362E-05
Qatar,2881060,2020-03-30,1,0.347,3.470944721734362E-05
Yemen,29825968,2020-05-12,10,0.335,3.352783051332986E-05
United Arab Emirates,9890400,2020-03-29,3,0.303,3.033244358165494E-05
Yemen,29825968,2020-05-11,9,0.302,3.0175047461996876E-05
Saudi Arabia,34813867,2020-03-31,10,0.287,2.8724186256011145E-05
Yemen,29825968,2020-05-10,8,0.268,2.6822264410663888E-05
Yemen,29825968,2020-05-09,7,0.235,2.3469481359330903E-05
Kuwait,4270563,2020-04-04,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-05,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-06,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-07,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-08,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-09,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-10,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-11,1,0.234,2.3416116329392636E-05
Kuwait,4270563,2020-04-12,1,0.234,2.3416116329392636E-05
Saudi Arabia,34813867,2020-03-29,8,0.23,2.2979349004808917E-05
Saudi Arabia,34813867,2020-03-30,8,0.23,2.2979349004808917E-05
United Arab Emirates,9890400,2020-03-20,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-21,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-22,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-23,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-24,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-25,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-26,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-27,2,0.202,2.0221629054436625E-05
United Arab Emirates,9890400,2020-03-28,2,0.202,2.0221629054436625E-05
Oman,5106622,2020-03-31,1,0.196,1.9582416713044357E-05
Oman,5106622,2020-04-01,1,0.196,1.9582416713044357E-05
Oman,5106622,2020-04-02,1,0.196,1.9582416713044357E-05
Oman,5106622,2020-04-03,1,0.196,1.9582416713044357E-05
Yemen,29825968,2020-05-06,5,0.168,1.676391525666493E-05
Yemen,29825968,2020-05-07,5,0.168,1.676391525666493E-05
Yemen,29825968,2020-05-08,5,0.168,1.676391525666493E-05
Saudi Arabia,34813867,2020-03-28,4,0.115,1.1489674502404459E-05
Yemen,29825968,2020-05-05,3,0.101,1.0058349153998957E-05
Saudi Arabia,34813867,2020-03-26,3,0.086,8.617255876803343E-06
Saudi Arabia,34813867,2020-03-27,3,0.086,8.617255876803343E-06
Yemen,29825968,2020-04-30,2,0.067,6.705566102665972E-06
Yemen,29825968,2020-05-01,2,0.067,6.705566102665972E-06
Yemen,29825968,2020-05-02,2,0.067,6.705566102665972E-06
Yemen,29825968,2020-05-03,2,0.067,6.705566102665972E-06
Yemen,29825968,2020-05-04,2,0.067,6.705566102665972E-06
Saudi Arabia,34813867,2020-03-25,2,0.057,5.744837251202229E-06
Saudi Arabia,34813867,2020-03-24,1,0.029,2.8724186256011146E-06
Saudi Arabia,34813867,2020-03-02,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-03,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-04,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-05,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-06,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-07,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-08,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-09,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-10,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-11,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-12,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-13,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-14,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-15,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-16,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-17,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-18,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-19,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-20,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-21,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-22,NULL,NULL,NULL
Saudi Arabia,34813867,2020-03-23,NULL,NULL,NULL
United Arab Emirates,9890400,2020-01-29,NULL,NULL,NULL
United Arab Emirates,9890400,2020-01-30,NULL,NULL,NULL
United Arab Emirates,9890400,2020-01-31,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-01,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-02,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-03,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-04,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-05,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-06,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-07,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-08,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-09,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-10,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-11,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-12,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-13,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-14,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-15,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-16,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-17,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-18,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-19,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-20,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-21,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-22,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-23,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-24,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-25,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-26,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-27,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-28,NULL,NULL,NULL
United Arab Emirates,9890400,2020-02-29,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-01,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-02,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-03,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-04,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-05,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-06,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-07,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-08,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-09,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-10,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-11,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-12,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-13,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-14,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-15,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-16,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-17,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-18,NULL,NULL,NULL
United Arab Emirates,9890400,2020-03-19,NULL,NULL,NULL
Qatar,2881060,2020-02-29,NULL,NULL,NULL
Qatar,2881060,2020-03-01,NULL,NULL,NULL
Qatar,2881060,2020-03-02,NULL,NULL,NULL
Qatar,2881060,2020-03-03,NULL,NULL,NULL
Qatar,2881060,2020-03-04,NULL,NULL,NULL
Qatar,2881060,2020-03-05,NULL,NULL,NULL
Qatar,2881060,2020-03-06,NULL,NULL,NULL
Qatar,2881060,2020-03-07,NULL,NULL,NULL
Qatar,2881060,2020-03-08,NULL,NULL,NULL
Qatar,2881060,2020-03-09,NULL,NULL,NULL
Qatar,2881060,2020-03-10,NULL,NULL,NULL
Qatar,2881060,2020-03-11,NULL,NULL,NULL
Qatar,2881060,2020-03-12,NULL,NULL,NULL
Qatar,2881060,2020-03-13,NULL,NULL,NULL
Qatar,2881060,2020-03-14,NULL,NULL,NULL
Qatar,2881060,2020-03-15,NULL,NULL,NULL
Qatar,2881060,2020-03-16,NULL,NULL,NULL
Qatar,2881060,2020-03-17,NULL,NULL,NULL
Qatar,2881060,2020-03-18,NULL,NULL,NULL
Qatar,2881060,2020-03-19,NULL,NULL,NULL
Qatar,2881060,2020-03-20,NULL,NULL,NULL
Qatar,2881060,2020-03-21,NULL,NULL,NULL
Qatar,2881060,2020-03-22,NULL,NULL,NULL
Qatar,2881060,2020-03-23,NULL,NULL,NULL
Qatar,2881060,2020-03-24,NULL,NULL,NULL
Qatar,2881060,2020-03-25,NULL,NULL,NULL
Qatar,2881060,2020-03-26,NULL,NULL,NULL
Qatar,2881060,2020-03-27,NULL,NULL,NULL
Oman,5106622,2020-02-24,NULL,NULL,NULL
Oman,5106622,2020-02-25,NULL,NULL,NULL
Oman,5106622,2020-02-26,NULL,NULL,NULL
Oman,5106622,2020-02-27,NULL,NULL,NULL
Oman,5106622,2020-02-28,NULL,NULL,NULL
Oman,5106622,2020-02-29,NULL,NULL,NULL
Oman,5106622,2020-03-01,NULL,NULL,NULL
Oman,5106622,2020-03-02,NULL,NULL,NULL
Oman,5106622,2020-03-03,NULL,NULL,NULL
Oman,5106622,2020-03-04,NULL,NULL,NULL
Oman,5106622,2020-03-05,NULL,NULL,NULL
Oman,5106622,2020-03-06,NULL,NULL,NULL
Oman,5106622,2020-03-07,NULL,NULL,NULL
Oman,5106622,2020-03-08,NULL,NULL,NULL
Oman,5106622,2020-03-09,NULL,NULL,NULL
Oman,5106622,2020-03-10,NULL,NULL,NULL
Oman,5106622,2020-03-11,NULL,NULL,NULL
Oman,5106622,2020-03-12,NULL,NULL,NULL
Oman,5106622,2020-03-13,NULL,NULL,NULL
Oman,5106622,2020-03-14,NULL,NULL,NULL
Oman,5106622,2020-03-15,NULL,NULL,NULL
Oman,5106622,2020-03-16,NULL,NULL,NULL
Oman,5106622,2020-03-17,NULL,NULL,NULL
Oman,5106622,2020-03-18,NULL,NULL,NULL
Oman,5106622,2020-03-19,NULL,NULL,NULL
Oman,5106622,2020-03-20,NULL,NULL,NULL
Oman,5106622,2020-03-21,NULL,NULL,NULL
Oman,5106622,2020-03-22,NULL,NULL,NULL
Oman,5106622,2020-03-23,NULL,NULL,NULL
Oman,5106622,2020-03-24,NULL,NULL,NULL
Oman,5106622,2020-03-25,NULL,NULL,NULL
Oman,5106622,2020-03-26,NULL,NULL,NULL
Oman,5106622,2020-03-27,NULL,NULL,NULL
Oman,5106622,2020-03-28,NULL,NULL,NULL
Oman,5106622,2020-03-29,NULL,NULL,NULL
Oman,5106622,2020-03-30,NULL,NULL,NULL
Kuwait,4270563,2020-02-24,NULL,NULL,NULL
Kuwait,4270563,2020-02-25,NULL,NULL,NULL
Kuwait,4270563,2020-02-26,NULL,NULL,NULL
Kuwait,4270563,2020-02-27,NULL,NULL,NULL
Kuwait,4270563,2020-02-28,NULL,NULL,NULL
Kuwait,4270563,2020-02-29,NULL,NULL,NULL
Kuwait,4270563,2020-03-01,NULL,NULL,NULL
Kuwait,4270563,2020-03-02,NULL,NULL,NULL
Kuwait,4270563,2020-03-03,NULL,NULL,NULL
Kuwait,4270563,2020-03-04,NULL,NULL,NULL
Kuwait,4270563,2020-03-05,NULL,NULL,NULL
Kuwait,4270563,2020-03-06,NULL,NULL,NULL
Kuwait,4270563,2020-03-07,NULL,NULL,NULL
Kuwait,4270563,2020-03-08,NULL,NULL,NULL
Kuwait,4270563,2020-03-09,NULL,NULL,NULL
Kuwait,4270563,2020-03-10,NULL,NULL,NULL
Kuwait,4270563,2020-03-11,NULL,NULL,NULL
Kuwait,4270563,2020-03-12,NULL,NULL,NULL
Kuwait,4270563,2020-03-13,NULL,NULL,NULL
Kuwait,4270563,2020-03-14,NULL,NULL,NULL
Kuwait,4270563,2020-03-15,NULL,NULL,NULL
Kuwait,4270563,2020-03-16,NULL,NULL,NULL
Kuwait,4270563,2020-03-17,NULL,NULL,NULL
Kuwait,4270563,2020-03-18,NULL,NULL,NULL
Kuwait,4270563,2020-03-19,NULL,NULL,NULL
Kuwait,4270563,2020-03-20,NULL,NULL,NULL
Kuwait,4270563,2020-03-21,NULL,NULL,NULL
Kuwait,4270563,2020-03-22,NULL,NULL,NULL
Kuwait,4270563,2020-03-23,NULL,NULL,NULL
Kuwait,4270563,2020-03-24,NULL,NULL,NULL
Kuwait,4270563,2020-03-25,NULL,NULL,NULL
Kuwait,4270563,2020-03-26,NULL,NULL,NULL
Kuwait,4270563,2020-03-27,NULL,NULL,NULL
Kuwait,4270563,2020-03-28,NULL,NULL,NULL
Kuwait,4270563,2020-03-29,NULL,NULL,NULL
Kuwait,4270563,2020-03-30,NULL,NULL,NULL
Kuwait,4270563,2020-03-31,NULL,NULL,NULL
Kuwait,4270563,2020-04-01,NULL,NULL,NULL
Kuwait,4270563,2020-04-02,NULL,NULL,NULL
Kuwait,4270563,2020-04-03,NULL,NULL,NULL
Bahrain,1701583,2020-02-24,NULL,NULL,NULL
Bahrain,1701583,2020-02-25,NULL,NULL,NULL
Bahrain,1701583,2020-02-26,NULL,NULL,NULL
Bahrain,1701583,2020-02-27,NULL,NULL,NULL
Bahrain,1701583,2020-02-28,NULL,NULL,NULL
Bahrain,1701583,2020-02-29,NULL,NULL,NULL
Bahrain,1701583,2020-03-01,NULL,NULL,NULL
Bahrain,1701583,2020-03-02,NULL,NULL,NULL
Bahrain,1701583,2020-03-03,NULL,NULL,NULL
Bahrain,1701583,2020-03-04,NULL,NULL,NULL
Bahrain,1701583,2020-03-05,NULL,NULL,NULL
Bahrain,1701583,2020-03-06,NULL,NULL,NULL
Bahrain,1701583,2020-03-07,NULL,NULL,NULL
Bahrain,1701583,2020-03-08,NULL,NULL,NULL
Bahrain,1701583,2020-03-09,NULL,NULL,NULL
Bahrain,1701583,2020-03-10,NULL,NULL,NULL
Bahrain,1701583,2020-03-11,NULL,NULL,NULL
Bahrain,1701583,2020-03-12,NULL,NULL,NULL
Bahrain,1701583,2020-03-13,NULL,NULL,NULL
Bahrain,1701583,2020-03-14,NULL,NULL,NULL
Bahrain,1701583,2020-03-15,NULL,NULL,NULL
Yemen,29825968,2020-04-10,NULL,NULL,NULL
Yemen,29825968,2020-04-11,NULL,NULL,NULL
Yemen,29825968,2020-04-12,NULL,NULL,NULL
Yemen,29825968,2020-04-13,NULL,NULL,NULL
Yemen,29825968,2020-04-14,NULL,NULL,NULL
Yemen,29825968,2020-04-15,NULL,NULL,NULL
Yemen,29825968,2020-04-16,NULL,NULL,NULL
Yemen,29825968,2020-04-17,NULL,NULL,NULL
Yemen,29825968,2020-04-18,NULL,NULL,NULL
Yemen,29825968,2020-04-19,NULL,NULL,NULL
Yemen,29825968,2020-04-20,NULL,NULL,NULL
Yemen,29825968,2020-04-21,NULL,NULL,NULL
Yemen,29825968,2020-04-22,NULL,NULL,NULL
Yemen,29825968,2020-04-23,NULL,NULL,NULL
Yemen,29825968,2020-04-24,NULL,NULL,NULL
Yemen,29825968,2020-04-25,NULL,NULL,NULL
Yemen,29825968,2020-04-26,NULL,NULL,NULL
Yemen,29825968,2020-04-27,NULL,NULL,NULL
Yemen,29825968,2020-04-28,NULL,NULL,NULL
Yemen,29825968,2020-04-29,NULL,NULL,NULL
