location,total_cases,total_deaths,DeathPercentage
Bahrain,176934,646,0.003651078933387591
Kuwait,273991,1563,0.005704566938330091
Oman,193253,2010,0.01040087346638862
Qatar,205652,458,0.0022270631941337794
Saudi Arabia,417363,6957,0.016668942862687875
United Arab Emirates,520236,1587,0.003050538601711531
Yemen,6317,1226,0.19407946810194712
